                    name                     | num_files |        size_mib        | num_empty |    median_kib    |        avg_kib         | largest_mib | longst_path 
 t1-x2efd-jmbb-target                        |      1246 |     24548.143663406372 |         0 |    19916.5078125 |     20174.397360616473 |         372 |          73
 t1-x2efd-kopia-cache                        |      1407 |   850.0061655044555664 |         1 |     2.2763671875 |   618.6256670053749111 |          77 |         117
 t1-x2efd-kopia-target                       |      3693 |     34765.922502517700 |         0 |     0.0068359375 |  9639.9416849656444629 |          27 |          66
 t1-x3001-borg-cache                         |         8 |    87.4054126739501953 |         0 |     0.1298828125 |     11187.892822265625 |          55 |         109
 t1-x3001-borg-target                        |       158 |     28384.825763702393 |         0 |     0.0166015625 |    183962.415076147148 |         506 |          41
 t1-x3001-bupstash-cache                     |         3 |    28.4921913146972656 |         0 |               24 |  9725.3346354166666670 |          28 |          48
 t1-x3001-bupstash-target                    |     59342 |     32094.230645179749 |         1 |  223.18212890625 |   553.8150412972947070 |           8 |         101
 t1-x3001-jmbb-target                        |      1437 |     29967.849581718445 |         0 |    19754.3203125 |     21354.960314321286 |         372 |          73
 t1-x3001-kopia-cache                        |      1993 |   992.5990228652954102 |         1 |     2.7294921875 |   509.9956846031422480 |          77 |         117
 t1-x3001-kopia-target                       |      4380 |     42047.931893348694 |         0 |        0.0078125 |  9830.3840773491010273 |          27 |          66
 t1-x30da-borg-cache                         |         8 |    91.6204824447631836 |         0 |     0.1298828125 |     11727.421752929688 |          59 |         109
 t1-x30da-borg-target                        |       159 |     25351.776434898376 |         0 |     0.0166015625 |    163271.818046137969 |         503 |          41
 t1-x30da-bupstash-cache                     |         3 |    29.4335975646972656 |         0 |               24 |     10046.667968750000 |          29 |          48
 t1-x30da-bupstash-target                    |     55726 |     28431.009311676025 |         1 |  183.07470703125 |   522.4375253051762197 |           8 |         101
 t1-x30da-jmbb-target                        |      1357 |     26751.343127250671 |         0 |    20253.6171875 |     20186.717289833963 |         372 |          73
 t1-x30da-kopia-cache                        |      1998 |  1053.2835273742675781 |         1 |             2.75 |   539.8209870026276279 |          77 |         117
 t1-x30da-kopia-target                       |      4534 |     43564.147734642029 |         0 |     0.0087890625 |  9838.9252933995230479 |          27 |          66
 t1-x312a-borg-cache                         |         8 |    94.2279157638549805 |         0 |     0.1298828125 |     12061.173217773438 |          62 |         109
 t1-x312a-borg-target                        |       165 |     24765.099679946899 |         0 |     0.0166015625 |    153693.709528882578 |         503 |          41
 t1-x312a-bupstash-cache                     |         3 |    29.4335975646972656 |         0 |               24 |     10046.667968750000 |          29 |          48
 t1-x312a-bupstash-target                    |     53027 |     27472.945368766785 |         1 |    194.927734375 |   530.5277699590244121 |           8 |         101
 t1-x312a-jmbb-target                        |      1365 |     26862.862071037292 |         0 |    20068.5390625 |     20152.066491386218 |         372 |          73
 t1-x312a-kopia-cache                        |      2017 |  1118.2162418365478516 |         1 |     2.8212890625 |   567.7012551515245410 |          77 |         117
 t1-x312a-kopia-target                       |      4574 |     43925.918324470520 |         0 |        0.0078125 |  9833.8741504717561211 |          27 |          66
 t1-x31a3-borg-cache                         |         8 |    94.7929964065551758 |         0 |     0.1298828125 |     12133.503540039063 |          63 |         109
 t1-x31a3-borg-target                        |       171 |     25163.569554328918 |         0 |     0.0166015625 |    150687.106570952119 |         503 |          41
 t1-x31a3-bupstash-cache                     |         3 |    29.4335975646972656 |         0 |               24 |     10046.667968750000 |          29 |          48
 t1-x31a3-bupstash-target                    |     54066 |     27878.995762825012 |         1 |   191.9853515625 |   528.0230026473719619 |           8 |         101
 t1-x31a3-jmbb-target                        |      1409 |     27868.255793571472 |         0 |    20268.1171875 |     20253.437851396159 |         372 |          73
